text,label,text_length
ikn ibukota koruptor nepotisme ,negatif,31.0
sy mau tanya ikn itu untuk apa trs yg menempati ikn rakyat menengah kebawa apa untuk para pejabat ,negatif,98.0
bapak skolahin anak nya yg setinggi nnti bsa ngelamar krja di ikn nnti dsna jg bakal ada skolah rmh sakit dll,negatif,109.0
wacana belim ada kesitu realnya dan faktanya aja jangan ngomong yg blm terlaksana,negatif,81.0
follow ig ikn pak udh dr lama kq buka lowongan trs siapa tau mau dftar,negatif,70.0
gw yg tinggal di ikn,negatif,20.0
kabar angin katanya anggota parlemen tak ada yg mau pindah di ikn ya ,negatif,69.0
bandara k ikn brapa lama,negatif,24.0
ayo dukung tapera demi ikn,negatif,26.0
bakal di buka umum gasi,negatif,23.0
ini yg desain siapa si bangus banget apa lagi klu udah jadi,negatif,59.0
ikn itu apa ya,negatif,14.0
jirrrr iri banget gw sama paskibraka tahun sekarang udah bisa upacara di ikn ya apa masi di jakarta,negatif,99.0
pelantikan presiden terbaru kapan,negatif,33.0
buruntung lah kalian adik paskibraka nasional tahun ini,negatif,55.0
progres pembangunan bukannya sampek ya,negatif,38.0
udh  gitu taun ini keknya,negatif,25.0
seumpama hutang pembangunan ikn tidak lunas sampai kiamat nnti yg nggung di akhirat president apa rakyat ya,negatif,107.0
emg bisa udh selesai sebelum agustus ,negatif,37.0
lokasinya dimana,negatif,16.0
bingung mikirin konsep jalan ny paskibra nyapkh sama kyk di jakarta,negatif,67.0
nanti rumah ku jadi salah nya disana amiinnnnnnnn,negatif,49.0
fix kalau ikn jadi aku mau jalanâ ke ikn aja gak ke jakarta,negatif,60.0
yup soalnya banyak pepohonan,negatif,28.0
siapa yg bilang mustahil kemaren,negatif,32.0
ps,negatif,2.0
burubngt,negatif,8.0
ya baguslah knp emang kalau buru,negatif,32.0
ada macan ngga ya ­ ­,negatif,21.0
berasa di luar negeri,negatif,21.0
lapangan langsung menghadap garuda megah minus kayaknya panas ya,negatif,64.0
keknya ga deh bang soalnya banyak pohon dinsekitarannya,negatif,55.0
pemerintah mode serius,negatif,22.0
ini mau dipake buat agustus tahun ini ya,negatif,40.0
umr ikn brp,negatif,11.0
what are they building,negatif,22.0
jakarta sepi deh ­,negatif,18.0
pgn deh tinggal sanatapi masih mekirkan gelandangan di jalan ngak ada rumahsemoga pemerintah dan presiden bisa ngasih tempat mereka tinggal,negatif,139.0
pemerintah daerah dlu coba tanyain,negatif,34.0
jadi pen jualan gorengan di sana,negatif,32.0
tidak ada motor mobil,negatif,21.0
lebih tepatnya untuk para pejabat,negatif,33.0
anak paskib yg ikut uapacara di ikn,negatif,35.0
brpa tahun lagi ikn resmi,negatif,25.0
p info loker di ikn,negatif,20.0
suatu sat pengin ke ikn,negatif,23.0
gedung khusus para pejabat doang kah,negatif,36.0
q kerja d waskitanya ,negatif,21.0
gak sabar liat upacara pertama kali di ikn,negatif,42.0
bangkit lah jiwa dan raga nya untuk ibu pertiwi,negatif,47.0
upacara tinggal bulan lagi ­,negatif,28.0
dulu klo mau ke ibu kota naik kereta nyampe tpi skrng mau ke ibu kota harus nyebrang laut,negatif,89.0
saya dari cilegona,negatif,18.0
cuan,negatif,4.0
yuk bikin homebase timnas super megah lengkap dengan alat gym nya,negatif,65.0
pengen kerja disini tuhan ­,negatif,27.0
kalau ikn dah jadi boleh ga sih kita rakyatnya dtg kesitu keliling,negatif,66.0
saya orang awam nihsaya mau nanya gunanya tapera itu apa sih ,negatif,61.0
katanya ikn siap sampe akhir tahun,negatif,34.0
buset udah kayak eropa aja,negatif,26.0
mohon para pengawas juga ikut memantau dan mengawasi,negatif,52.0
brp tenaga kerja dan alat berat terlibat di ikn,negatif,47.0
jogetin aja,negatif,11.0
uda berapa 271t habis ya,negatif,24.0
bisa ga ya,negatif,10.0
bayangin aja duit 271t itu di buat tambahan renovasi proyek ikn ini bisa jadi kaya apa coba,negatif,91.0
katanya ikn itu ikan,negatif,20.0
ingat mega proyek dijaman presiden sebelumnya yang terbengkalaijdi jngn sampai ikn seperti itu juga,negatif,99.0
harus naik kapal dulu gak si klo di jakarta ke ikn,negatif,50.0
jika jadi kota nya gw bakalan tinggal dan hidup di ikn,negatif,54.0
kalau tapera buat pembangunan di ikn gue rela karena guw nganggur,negatif,65.0
ikn di mana yak ,negatif,16.0
ada kereta ga di ikn,negatif,20.0
dosen pns bisa pindah ke ikn,negatif,28.0
untuk pejabat saja mewah kan,negatif,28.0
tunggu saya ikn saya otw,negatif,24.0
gamau komen ah,negatif,14.0
weh demi apasih inih di ikn ­ ,negatif,30.0
kek eropa vibes nya,negatif,19.0
coba yg minta roro jonggrang,negatif,28.0
pengen kesana,negatif,13.0
ayooo lah gabung gw pengen buka tambal ban pertma di ikn,negatif,56.0
ini yg jalan progresnya cuma area inti ya area lain mah masih sepi ibaratnya yg baru jadi mah seputaran jalan merdeka doang,negatif,123.0
ikn mirip las vegas,negatif,19.0
habis 271t lho,negatif,14.0
misalkan org sumatra mau liburan kesitu apakah bisa atau hanyar untuk org org tertentu,negatif,86.0
yang nempatin orang indo apa singapore,negatif,38.0
saranjana,negatif,9.0
waktu ke sangatta sy travel dgn seorang bpk dia bilang klo di ikn blm terbangun apa dan tdk akan terlaksana ,negatif,108.0
was was kita,negatif,12.0
aku berada di barisan rakyat jelata yg mustahil bisa menikmati kecuali para pejabat dan konglomerat ¢ padahal itu ada uang pajak kami yg selalu tat membayar,negatif,156.0
modern,negatif,6.0
kayak di luar negri,negatif,19.0
keamanannya kykmna ini ada yg tau ,negatif,34.0
aku tak kuliah tenanan wes,negatif,26.0
iri banget sama paska yg lolos di nasional gw aja di kabupaten ga dapet,negatif,71.0
gagas seleksi pusat,negatif,19.0
lowongan kerja banyak nih di ikn,negatif,32.0
apakah tdk membayar klo masuk kesitu jalan,negatif,42.0
boleh gk jalan kesana melihat kemewahan ikn,negatif,43.0
blum selese,negatif,11.0
uang gw ada disana aing ,negatif,24.0
bulan belum gajian,negatif,18.0
gua kek serasa di luar negeri vd nya,negatif,36.0
kota modern,negatif,11.0
letak training center nya fi mana si kak,negatif,40.0
gbu,negatif,3.0
ohh waskita,negatif,11.0
yok bisa yok kerja disana,negatif,25.0
berasa liat negara baru,negatif,23.0
ini aceh bang,negatif,13.0
apakah bakal ada stadion lagi kayak gbk,negatif,39.0
tadi baru liat video pemasangan tiang benderanya udh selesai tinggi tiangnya meter,negatif,82.0
udh setengah perjalanan,negatif,23.0
kelas,negatif,5.0
lama amat jadinya,negatif,17.0
kira selesai ny kpn ya,negatif,22.0
pengenx ikut hadir upacara kmerdekan agustus dsna jika berkenan d izinkn,negatif,72.0
gila sekitarnya masih gunung,negatif,28.0
jadi pengen jual kerupuk disana,negatif,31.0
pontianak kalbar utk,negatif,20.0
ituh dimana sihh jakarta,negatif,24.0
penasaran sama bentuk isi gedung ya gimana,negatif,42.0
pingin jualan tahu bulat d sana ,negatif,32.0
dan upacara kenegaran peringatan hut ri yg terakhir presiden jokowi,negatif,67.0
udah jadi aja,negatif,13.0
untuk masadepann,negatif,16.0
gw ngiri terus sma temen yg dinas dsna pengen juga soal nya,negatif,59.0
saranjana didunia nyata,negatif,23.0
ga smpt ikut upacara wehh dluan lulus ª,negatif,39.0
siap siap jadi kuli ­,negatif,21.0
rumah pejabat,negatif,13.0
kaya jurasic park,negatif,17.0
adakah disini bakal dibangunkan sebagai bandaraya besar seperti jakarta,negatif,71.0
sarang pejabat yg baru nich ,negatif,28.0
cantik tapi tgk jalan kecik amat mesti macet teruk nih,negatif,54.0
like putrajaya malaysia,negatif,23.0
ibu kota jkarta emng dah waktunya pindah klu masih d jkarta blkalan dkit demo dikit masa trun k jalanklu ikn kyaknya aman krena orang klimantan g auka demo,negatif,155.0
panas bgtt tuh pasti klo upacara di lapngan nya ­ ­ ­,negatif,53.0
ntar di taroin ac keknya bang,negatif,29.0
membayangkan betapa panasnya,negatif,28.0
fibes nya udh kayak di luar negeri,negatif,34.0
ayo mb aikan pajak utk ikn tapera utk ikn palagi ya,negatif,51.0
berapa puluh ribu org yg kerja di ikn,negatif,37.0
candi ikn,negatif,9.0
aku setuju aj mbgun ikn tpi ya jgan nyusahin rakyat cari dana lewat program gk jelas mnding pjbt kya koruptor tu duitnya ato jual pulau,negatif,135.0
sepintas mirip disneyland,negatif,25.0
ada lowongan kerja nya gak sihh disini œ,negatif,40.0
otw pindah kalimantan,negatif,21.0
nk buat cam putrajaya tu,negatif,24.0
ada stadion gak y,negatif,17.0
ikn balikpapan cuy,negatif,18.0
gw ditawarin kerja proyekan di ikn njirr ambil jgn,negatif,50.0
salam dari pekerja ikn rumah tapak jabatan mentri,negatif,49.0
ini seperti nya selesai pembangunan ikn akan selesai di tahun,negatif,61.0
kita rakyat jelata cuma kebagian ngelihatin doank sama kebebanan utang ikn,negatif,74.0
ini ikn untuk rakyat,negatif,20.0
untuk rakyat kah ini,negatif,20.0
kapan jadinya kn,negatif,16.0
yang tinggal di situ orangkaya kyaknya,negatif,38.0
klo udh jadi jgn d jual ya,negatif,26.0
d kalimantan ngk cocok klo ngk d tanamin pepohonan krn panasnya luar biasa jam pagi itu sudah panas sampai sore jamklo terbuka seperti itu yakin lah ngk ada yg mau jalan kaki d situ,negatif,181.0
ini untuk siapa rakyat atau pejabat,negatif,35.0
ikn sebelum dibangun rakyat indonesia bilek,negatif,43.0
memang jiran kita kalo iri nomer,negatif,32.0
koing lah,negatif,9.0
panas cuy,negatif,9.0
ikn banamange ,negatif,14.0
kata bapak gw monas mau dibawa ke ikn make helikopter,negatif,53.0
jauh dr para kafal gurun yg selalu demo di monas ,negatif,49.0
ini propaganda apa gimana gw ga peduli soal ikn tapera gimana ikn hasil dr peras rakyat kok d banggain,negatif,102.0
mau dong aku kerja di ikn lagi cari kerja,negatif,41.0
ikn (ingin kebelet negara),negatif,26.0
marmer dari gudang gue tuh udah kontener masuk ikn,negatif,50.0
skrg tiket d kalimantan lumyan mehongmogga ada ikn tiket pesawat bs agak miringdr kaltim ujung mau ke mall balikpapan aja naik pesawat p maklum tempat ku ngk ada mall atau bioskop ‘œ,negatif,182.0
siaphrga tanah d kalimantan,negatif,27.0
tapera gw bakal lari kesini ”,negatif,29.0
gaboleh ada motor pokonya,negatif,25.0
ya allah q pengen ke ikn doa dulu gp kan,negatif,40.0
tempat raja jan ethes bernaung,negatif,30.0
pendemo yg sering koar di jakarta gk sanggup demo di kalimantan ongkos mahal sokorrr,negatif,84.0
bagi info dong gimana supaya bisa ikut upacara agustus di ikn,negatif,61.0
org luar kalimantan bnyk yg alay (bentar lgi gw di hujat jir),negatif,61.0
izin mengingatkan,negatif,17.0
nabi muhamad saw wafat pada usia tahun pada hari senin rabiul awal hijrah atau bertepatan juni masehi,negatif,101.0
kaum penyembah rocky gerung mana nihh kok ga nongolyg katanya kaum paling cerdas seantero bumi ,negatif,95.0
ikn indo,negatif,8.0
emang hambalang mangkrc,negatif,23.0
panas gk sih disana weh info perumahan,negatif,38.0
insya allah jadi browkrn semua kontraktor dr dulu krj berdasar kontrak proyekami di kemenko kontrak sampai nopember kalo lewat itu berarti kami rugi dongmakanya sampai agustus minim lah ,negatif,186.0
tempat nginap taipan cina yg akan menjajah indonesia selama tahun digadai jokowi akibat utang mengatas namakan pembangunan infrastrukturbila bls bls,negatif,148.0
tempat tinggal masyarakat dimana ,negatif,33.0
ya harus jadi lah bro demi jaga gengsi junjungan lu pada mau negara hutang cashflow minus ratusan triliunan dan g ada satupun investor mau masuk kan bisa diambilkan dri tapera oke gas oke gas,negatif,191.0
otw mangkrak,negatif,12.0
puanas nya kek apa inii cok,negatif,27.0
percuma punya bangunan megah kalau didalamnya garong ,negatif,53.0
bikin ngiler pembenci yg ngakunya pandai tidak bisa bikin karya kayak beliau yg dulunya cuma tukang mebel mereka bisanya cuma nyinyir dan nyonyor top pak jokowi,negatif,160.0
yakin gak terjadi ,negatif,18.0
air buat mandi aja susah ,negatif,25.0
yg kerja pada ngeluh mandi susah minum sulit terlalu berhayal bisa terlaksana agts ,negatif,83.0
proyek mangkrak ,negatif,16.0
udh ga punya urat kemaluan pemerintah sekarg tanah rumah yg digusur aja gajelas nasipnya skrg,negatif,93.0
semua yg d jakarta pindah di sini ka,negatif,36.0
waskita lagi kontraktornya,negatif,26.0
tukang plafon hadir,negatif,19.0
pasang di gedung kemenko,negatif,24.0
bikin stadion bola sih,negatif,22.0
ikn sekarang,negatif,12.0
papua sekarang,negatif,14.0
malaysiaserawak ketar ketir ibu kota indonesia berada di perbatasan kalimantan sama serawak,negatif,91.0
bangunan doang ngeri tapi iq warganya kebanyakan kebawahlawak,negatif,61.0
demi ini pajak naik ,negatif,20.0
gamonn upacara disinek,negatif,22.0
yang lagi cari tanah kavling strategis di ikn bisa mampir ke vt ya jarak ke pusat ikn hanya menit saja harga terjangkau mulai dari jt yuk di gercep sebelum kehabisan âœ¨,negatif,169.0
bonjour what bagai mana to orang astagfirullah waga ne papua iku kae pie to jane apakah tak di urus ke cemane la,negatif,112.0
pasti jdi kota hantu lihat saja nanti ,negatif,38.0
aku doakan semoga ikn tidak ada tikus berdasi amin ²,negatif,52.0
hahahaha hahahaha hahahaha konoharezim bangsat,negatif,46.0
buset ngapain pindah njirpdhl kaltim bagus pemandangan nya malah ikn ikut sini coba tetap aja di jakarta,negatif,104.0
terlihat hutang yang menumpuk,negatif,29.0
kemudian dia sambung orang yg mindahin ibu kota ke kalimantan itu orangnya kurus pekerjannya dulu tukang kayu tp kerjanya tuh nyata walau sering dibilang ini itulah oleh orangyg tdak menyukainya,negatif,194.0
koq gw nangis ya baca nya ­,negatif,27.0
kok gue gak nangis ya,negatif,21.0
selain mencari nafkah mereka yg bekerja di sana sedang mengukir sejarah,negatif,71.0
kira kalau anis kepilih jadi persiden ikn pasti di lanjutkan ga sih pembangunan nyh,negatif,83.0
panas ga sih di kalimantan,negatif,26.0
ijin bertanya minapakah benar upacara an thn ini di ikn,negatif,55.0
menyala angkatanpaskibraka tahun ini kan anak jd mereka paskibraka pertama yang upacara nya di ikan ,negatif,100.0
berarti upacara kemerdekan terakhir pak jokowi sbg presiden di ikn ya,negatif,69.0
pak bisa ga itu di tiang bendera paling atas di pasangin hologram bendera yang rollsquare gitu jadi kalo bendera nya itu bisa nyala di malam hari ,negatif,146.0
ukt kuliah mahal kini bos,negatif,25.0
ikn ada tiang listrik gak ya,negatif,28.0
kok sedih ya serasa ingin nagis seperti mau berpisah tapi ya memag mau berpisah dari tanah jawa,negatif,95.0
jadi makin terasa dekat perpisahan itu žsehat selalu pak jokowi ˜,negatif,65.0
meter sesuai tahun kemerdekan tahun,negatif,35.0
upacara terakhir bersama pak jokowi,negatif,35.0
uparaca agsutus pertama di ikn dan upacara terakhir pak jokowi,negatif,62.0
jadi bendera singapore ndak,negatif,27.0
proyek ambisius,negatif,15.0
klo di angan angan saja ga bakalan terwujud,negatif,43.0
itu beneran meter di jakarta aja meter ­,negatif,40.0
kasian bgt paskibra ka skrg ,negatif,28.0
sebelum dibangun pasti sudah melalui musyawarah dgn berbagai pihak kak œ,negatif,72.0
duit dr mana,negatif,12.0
investor,negatif,8.0
kenapa project besar yg lain pakai tenaga import jika project ikn saja di kerjakan anak bangsa,negatif,94.0
bakal jd cerita bagi para pekerja tiang bendera kpd anaknya ,negatif,60.0
bang info loker di ikn ,negatif,23.0
ikn kira brapa tahun lagi resmi,negatif,31.0
saya pernah kerja di situ,negatif,25.0
bangga bgt aku jadi orng indonesia tapi sayangnya aku cari uang di negeri orang,negatif,79.0
akan jd tahun sejarah,negatif,21.0
ketika mereka sudah lanjut usia maka akan menceritakan kepada anak & cucunya,negatif,76.0
kira konsep agustus an bsk gimana ya apa ada hal baru lagi cz terakhir pak jokowi ikut upacara ags,negatif,98.0
buku sejarah akan mencatat untuk anak cucu di kemudian hari,negatif,59.0
kalau pilih anis pasti tidk lihat pengibaran bendera di ikn ,negatif,60.0
bolehkah masyarakat umum mengikuti upacara d ikn nanti pengen eh aq d kaltim,negatif,76.0
ntar malam tujubelasan wayangan ya min,negatif,38.0
kudunya kalo mo lbh keren sih pake hidrolik asal jgn ampe macet aja sih tetep dipasang ama paskibraka dibawah,negatif,109.0
semoga tdk hujan,negatif,16.0
ketiganya meter arti dari ketigan tiang bendera sesuai dengan tahun ke merdeka indonesia tahun ‘,negatif,96.0
ini kalau jaman sukarno hatta sda masuk buku yg nyelas tiang bendera ini jdi mata pelajaran stiap sekolah,negatif,105.0
bagus x jga d ujungx tiang bendera x tarikan emas,negatif,49.0
pasti di ceritain ke anak cucu nya dlu p masang tiang bendera itu,negatif,65.0
pekerja yg memasang tiang bendera perlu di data utk sejarah,negatif,59.0
mau hadir agustus upacara di ikn,negatif,32.0
pingin liat bp jokowi mimpin upacara untuk terahir sebelum masa tugas berakhir,negatif,79.0
udah engga sabar pengin liat upacara bendera agustus d ikn,negatif,58.0
ingin sekali kerja disana pak rekrut sya jadi tenaga kesehatan di ikan,negatif,70.0
ikn adem kah atau malah panas sama aja ­,negatif,40.0
mau nagis njir dger musik ini np ya,negatif,35.0
info loker di ikn ,negatif,18.0
jos,negatif,3.0
liat ikn lgsung ingat tapera,negatif,28.0
indonesia raya stanza ,negatif,22.0
sementara tiang dan bendera disekolah 271t mengenaskan,negatif,54.0
sebagai warga kalimantan utara harus hadir menyaksikan upacara bendera perdana di ikn titik,negatif,91.0
spill harga tiangnya,negatif,20.0
ketua mundur content pun fyp,negatif,28.0
semoga rakyat bisa tetap berdiri tegap tanpa mengandalkan pemerintahan krn mereka sibuk buat pejabat nya,negatif,104.0
ikut upc boleh,negatif,14.0
yg sdh siap buat upacaranya doang yg lainnya blm,negatif,48.0
kalian yg kerja di ikn adalah saksi sejarah pindahnya ibukota negara,negatif,68.0
min boleh kah masyarakat masuk nonton upacara nanti,negatif,51.0
kalau orang biasa yg mau melihat upacara agustus di ikn apakah di perbolehkan akses ke ikn apa sudah ada naik angkatan umum,negatif,123.0
berarti b ner ya pak jokowi bilang kalo upacara agustus itu di ikn,negatif,66.0
kita fokus ke capres yang sudah sah dipilih ,negatif,44.0
semoga indonesia makin berkembang maju semua sektor tidak ada lagi yg korupsi,negatif,77.0
gimana sih caranya ikut jadi tamu upacara agustus,negatif,49.0
yang pimpin upacara agustus nanti di jakarta siapa ya kalau pak jokowi di iknserius tanya,negatif,92.0
yg buat ikn & pekerjanya mlakukan sejarah indonesia,negatif,51.0
mantap ikn,negatif,10.0
wow info donk ngimn carany bisa ikut upacara sn nanti itu ½,negatif,61.0
merah putih sudah tertanam dalam hati istana yg megah di sekeliling nya masih sangatlah banyak rakyat yg miskin,negatif,111.0
paskibraka nasional pengukir sejarah,negatif,36.0
dipercepat,negatif,10.0
indonesia ku,negatif,12.0
saya curiga dana tapera utk ikn,negatif,31.0
mau ikut upacara agustusan di ikn ­ ­,negatif,37.0
mungkin maksudnya pengibaranbenderakebangsan ya min indonesia jaya,negatif,66.0
istana negara karya anak bangsa bukan peninggalan kolonial belanda,negatif,66.0
ingin liat selanjutnya jadi apasila ke mantap ,negatif,46.0
klo ibukota pindah di kalimantan apa masih ada ormasâ² meresahkan di kalimantan kan adatnya masih kental suku dayak jg kompak bngt,negatif,130.0
jadi pengen pak jokowi terus jadi presiden ¢,negatif,44.0
berapa duit itu gas skr langka sy makan aja susah beras mahal dan yg lainya mau sekokah anak lagi mohon di bantu kami katanya indonesia kaya raya,negatif,145.0
lanjutak pak menaikan semua anggaran dan pn untuk membangun apapun yg tertinggal,negatif,80.0
klo mau daftar ikut upacara an di ikn lewat mana min,negatif,52.0
inspektur upacara nya siapa,negatif,27.0
sekarang gw bukan org kampung lagi,negatif,34.0
kado dari presiden jokowi untuk nkri,negatif,36.0
safety nya meresahkan kan ,negatif,26.0
ikn siapa kah yag gunting pita nanti ,negatif,37.0
brarti ini ke x pindah ibu kota,negatif,31.0
apakah di ibukota negara ikn lampu kabel di bawah tanah,negatif,55.0
anak temen gw dapat tugas ke proyek di ikn,negatif,42.0
horeeee nginep di hotel ,negatif,24.0
anginnya kencang pasti,negatif,22.0
betul kah meter,negatif,15.0
haha,negatif,4.0
min berapa tiket p ke ikn mau nonton upacara bendera disana,negatif,59.0
yakin mtr,negatif,9.0
meter berapa kali tarikan untuk narik bendera nya sampai ke atas yak,negatif,68.0
kota saranjana,negatif,14.0
ibukota ya udh gk di jakarta lgi,negatif,32.0
ibu kota kini jauh d kaltim kami yg d plosok daerh jabar jarang ke jakarta kini pindah sudah ibu kotaku makin jauh [weep],negatif,121.0
sebagai seorang terapis pijat dan bekam saya kepengen buka praktek di ikn,negatif,73.0
sejarah juga bagi yg mengerjakannya,negatif,35.0
jd pengen upacara di ikn,negatif,24.0
jadi pengen upacara dirumah mengikuti ditelevi upacara di ikn ,negatif,62.0
pingin gratis sekolah sing pinter,negatif,33.0
kuli bangunan yg kena kasus vina minta dukungan para kuli seindonesia,negatif,69.0
semua naik ,negatif,11.0
kalau tali nya bendera putus siapa yang manjat,negatif,46.0
mau bangat jln ke ikn ­,negatif,23.0
ok itu apa,negatif,10.0
coba tolong jgn yerlau tebel atas nya bendera susah berkibar nanti,negatif,66.0
sedih upacara terakhir pak jokowi menjabat sebagai presiden ­,negatif,61.0
temenku kerja disana,negatif,20.0
gak boleh gitu ikut upacara di ikn kalo boleh biar otw dari kalteng,negatif,67.0
semoga korupsi segera di berangus dari bumi indonesia,negatif,53.0
gas kan nanti otw balikpapan ikn tuk ikut upacara,negatif,49.0
cuma pembangunan cukup segitu aja dulu buat ikn jngn dbuat gedung pencakar langit oleh perusahan besar biar hutan kalimantan terjaga,negatif,132.0
dari zaman pak sukarno rencana pemindahan ibu kota hanya pak jokowi yang mewujudkannya,negatif,86.0
upacara terakhir pak joko widodo sebagai inspektur upacara ­ ­ ­,negatif,64.0
jangan sampe soal ips tahun nanti siapa yang ngelas tiang bendera ikn,negatif,69.0
macet mba krna psti tamu luar biasa dtg,negatif,39.0
meter,negatif,5.0
para pasukan paskibraka nya nanti bakal latihangladi di sana kah,negatif,64.0
penggerek nya harus ekstra tu dari biasanya,negatif,43.0
biar enggak dijawa mulu yang moderen,negatif,36.0
ttttttapiiii bukanya ikn hanya buat pejabat aja ya ­,negatif,52.0
gegara ikn pajak naik gaji di potong,negatif,36.0
itu perkabelan masih ngegantung gtu ga di tanam,negatif,47.0
singapura prediksi the simpson,negatif,30.0
kalimantan akan dimiliki para investor ,negatif,39.0
suatu hari di th,negatif,16.0
dari mana mas,negatif,13.0
 dari jakarta mas ,negatif,18.0
oh dari kampung,negatif,15.0
rakyat siapa bg org kaltim bakal netap disitu ga atau bakal jdi kesenjangan baru,negatif,80.0
ibarat gini lu org kalimantan beli online ratabarangnya di jakarta ongkir nya mahal klo semisal ikn jg jadi pusat nya barang ongkir lebih murah,negatif,143.0
rakyat indonesia mana konglomerat yang tinggal disana,negatif,53.0
271t bisa buat ikn ­ ­,negatif,22.0
pusat ekonomi tetap jakarta,negatif,27.0
hutan yg di tebang itu adalah hutan pohon akasia (pohon bahan pembuatan kertas) jadi gak salah lah di gundulincontohnya kek tahun ini aja lagi proses panenya di gundulin,negatif,170.0
kalimantan itu paru paru dunia lupa yah sama istilah itu innalilahi ,negatif,68.0
tp kan yg dipake hutan produksi tiap brp blnthn pasti ditebang juga pohonnya,negatif,76.0
proyek yang tergesa gesa,negatif,24.0
seakan pokoknya harus siap walaupun apapun yang terjadi,negatif,55.0
takut banyak warga asing,negatif,24.0
investasi apan pake apbn gt,negatif,27.0
 apbn  investor,negatif,15.0
tahun lalu mungkin orang orang juga bilang seperti itu terhadap jawa,negatif,68.0
pentingnya pemimpin yg punya mental pebisnis karna kalo ga berani ngambil resiko kita ga akan bisa maju,negatif,103.0
( )sisi negatif nya pohon banyak ketebang,negatif,41.0
pohonya kecil bang krn bukan hutan rimba tp hutan produksi yg pohonnya panen tanam lg,negatif,85.0
padahal ikn buat pejabatâyang udh punya rumah berhektar hektarlebih baik dananya buat rakyat yg di jalan sana,negatif,110.0
masalahnya tuhh itu hutan di babat banyak gak siii,negatif,50.0
tapi hutan produksi yg emang setiap tahun nya harus di babat,negatif,60.0
jujurr ini hanya untuk orang kaya,negatif,33.0
ga juga si justru bkln bnyk lowongan pekerjan klo kota baru kya gini,negatif,68.0
271t bangun kota mah ga buang uang bang ada hasilnya ,negatif,53.0
besarin nama allah sulit,negatif,24.0
