text,label,text_length
kabel yg di tiang itu cuma bersifat sementara,negatif,45.0
karena proyek instalasi kabel bawah tanah nya belum selesai,negatif,59.0
untung nya apa emang masyarakat biasa bisa tinggal disana,negatif,57.0
jdi klo tnya gk di pake buat ke disney land gimana,negatif,50.0
lah anis di kasih anggaran 271t ,negatif,32.0
tapera duitnya buat ikn dulu kayanya,negatif,36.0
masih mending ikn daripada bangun kota megah,negatif,44.0
anggaran hampir 271t tapi itu anggaran selama tahun hinggal secara garis besar masih sanggup artinya setahun kita hanya mengeluarkan uang 271t,negatif,142.0
ikn nanti ada mrt ga ya,negatif,23.0
ksh triliyun bangun mobil motor nasional brp juta lapangan kerja ,negatif,65.0
kalau ikn program yg bagus cuma yg bngung kenapa pak jokowi mau acc program tapera itu aja,negatif,90.0
btw duitnya ada dari investor gk semuaduit kalian lagian gw bayar pajak cuman motor doang,negatif,89.0
jujur aku ngincer pns karena pingin pindah ke ikn di tempatku skrg banyak kenangan yg menyedihkan aku butuh suasana baru dimana orang gak ada yg kenal aku ­,negatif,156.0
ke jakarta yang deket aja belom pernah malah pindah ke kalimantan tambah jauh ­,negatif,79.0
betul pembangunan gak akan mendukung jika penduduknya juga kurang,negatif,65.0
lu belum tau mio mirza ­,negatif,24.0
krn smua sdh berpusat kesana nanti hutan kalimantan berubah jd gedung ¹ ¹ ¹,negatif,75.0
dia blom tau dengan mio mirza ˆ,negatif,31.0
belum tau mio mirza lu ,negatif,23.0
dang podo pindah lek pulau jawa kakean penduduk,negatif,47.0
papua kapan ya ,negatif,15.0
gua yang di pulau sumatra aja ga kena pastinya,negatif,46.0
kan gutang sama cinah ko ga koreksi,negatif,35.0
aku aja org kal sel merasa ini diluar nurul dan kurasa gak mgkn ternyata duganku ambyar pokoknya hadehhh rasa mustahil tapi ini reel kerjan pak jokowi bukan kaleng ,negatif,164.0
 blm paham jg,negatif,13.0
wkwk berak,negatif,10.0
coba sekarang bang apa kabarnya ,negatif,32.0
mudah an sesuai dgn expectasi kita liat aja nanti,negatif,49.0
hutan mulai habis indonesia bukan julukan paru dunia lagi,negatif,57.0
pemeratan ga salah tuh,negatif,22.0
yah blm tau mio mirza,negatif,21.0
lagian 271t dari investasipohon yang ditebang pohon produksi,negatif,60.0
bang mau nanya dahnanti monas di jakarta di bawa ke ikn ga ­,negatif,60.0
jangan sampe jatuh ke tangan anis,negatif,33.0
pinjem yang 271t dulu bang,negatif,26.0
nnti indonesia bkln di bngun kya gt apa cuma di situ doang,negatif,58.0
gw yg orang jawa setuju bgt sih jangan cuman jawa doang yg slalu dibangun infrastruktur,negatif,87.0
dan proyek yang sudah banyak menelan anggaran ini harus mangkrak sayang bngt klo gk dilanjutin,negatif,94.0
aduh kita mulai dari ya,negatif,23.0
betul bg gw setuju bgt dgn adanya ikn demi pemeratan supaya tidak jawa sentris lagi,negatif,83.0
smoga ga ada distopia di sekitar ikn,negatif,36.0
ktimbng blt salah sasaran mnding di bikin ikn,negatif,45.0
akan saya ceritakan krn ikn sehingga pemerintah adakan tapera ,negatif,62.0
dari balikpapan ke ikn perjalanan sekitar jam pas kesana debu nya ga nahan,negatif,74.0
ikn akan menjadi proyek mangkrak,negatif,32.0
kota para tikus ²,negatif,17.0
mending bg 271t buat bangun negara dari pda 271t buat kepentingan pribadi,negatif,73.0
gk kebayang triliunan pada akhirnya mangkrak,negatif,44.0
271t kemaren pke bangun ikn,negatif,27.0
yaelahh ikn cuman buat kaum elite kalo modelan saya ke ikn mau jadi apah,negatif,72.0
namanya juga kota baru di mna mana awalnya sulit,negatif,48.0
ikn udh ada investor asing,negatif,26.0
seberapa daruratkah negara harus membangun ibu kota negara baru yang bersumber dari apbn sementara sektor pendidikan dan kesehatan kita tahu masih gini gini aja jadi ikn untuk siapa,negatif,181.0
ikn butuh wktu tahun bru maju,negatif,29.0
ngomong apa si lu bang,negatif,22.0
iya skrng udah g ada duit jd di bikin lah tapera uang nya buat ikn,negatif,66.0
buzzer njir,negatif,11.0
maceeeeeetnya ikn ga solutif,negatif,28.0
dan lu salah satu orang yang menginvestasi disitu kan bg ,negatif,57.0
benar bang kalau ibu kota di tengah kita setidak nya kita di bagian timur bebas ongkir blja online ,negatif,99.0
mangkrak broo g ada yg investasi di ikn,negatif,39.0
udah ada pemukiman belum ka,negatif,27.0
bangga apanya belum ada investor lho ,negatif,37.0
hei kalian harus ingat ikn itu termasuk dari tapera jaga tangan kalian,negatif,70.0
pak,negatif,3.0
ketawa aja lah ,negatif,15.0
oh icon pemeratan doang kebanyakan simbol bukan substansi,negatif,57.0
alumni kami nyari org untuk kerja di ikn,negatif,40.0
sayangnya blm ada sk aja kalo ga berangkat juga ,negatif,48.0
bang bahas berapa tumbal proyek di ikn ,negatif,39.0
padahal ini ga sebanding dengan dgn mega proyek jalur sutra cina yg memakan biaya ribu triliun,negatif,94.0
potog gajih,negatif,11.0
hrga beras brp ya skrg,negatif,22.0
kamu udah pindah kesana belum,negatif,29.0
kata pak bahlil itu semua dari apbnbukan dari investor,negatif,54.0
yg bilang ikn mangkrak ya anak abah,negatif,35.0
gak percaua,negatif,11.0
preeettt,negatif,8.0
kira penduduknya siapa,negatif,22.0
yg ga suka ikn itu anak abah,negatif,28.0
emng ada yg mw investasi bangun kntor,negatif,37.0
kenapa ibu kota engga tetep di taro di pulau jawa sedangkan jantung nya indonesia ada di pulau jawa kalo kita di serang kita gabisa jaga jaga karna ibu kota kita bukan di jantung nya lagi,negatif,187.0
merintis memang perlu perjuangan,negatif,32.0
harapan oh dewek,negatif,16.0
makin enak penjabat tidur,negatif,25.0
bang mau nanya buat investasi kosan dekat dgn kampus yg ada di ikn berapa ya,negatif,76.0
setahun ga lewat ikn pas lewat sana lagi udah full macett‚,negatif,58.0
kaltim samarindacapenngeliat ikn mana sih prioritas kereta lintas kalimantanjalan penguhubung antara kalimantan masalah tambang ilegal mana prioritas sih heran,negatif,159.0
konglomerat mana berapa dananya,negatif,31.0
coy harga di kalimantan mahal mahal apalagi ongkir barang,negatif,57.0
cair ini mah,negatif,12.0
malahan bangunan yang dikejar kejar bisa ga bakal sempurna pengalaman sih,negatif,73.0
pembangunan untuk rakyat ga ada,negatif,31.0
di peta the simsons kalimantan masuk singapura pulau jawa jadi australia,negatif,72.0
masa iya ,negatif,9.0
ralat woii projeck jokowi ini itu sudah dari bung karno hanya di jokowi terealisasinya,negatif,86.0
sekarang jadi banyak bangunan,negatif,29.0
bos agustus bulan peresmian tapi hut ri upacara disana,negatif,54.0
banyak jawa yg gaterima,negatif,23.0
bukan buang buang uang ga tuh,negatif,29.0
aku pengen bamget ke ikn kalo mentri indoneaia ngk mau saya siap mengisi ikn ,negatif,77.0
kenapa pak maruf amin tidak di sebutkan pak kan dia wakil presiden berarti proyek beliau juga ,negatif,94.0
apanya yg siap bulan agustus tinggal menghitung hari ,negatif,53.0
kalimantan landscape tanah nya mirip daratan tiongkok jadi tau lah siapa yang tinggal dan jadi bos di sana ­,negatif,108.0
pokon,negatif,5.0
hutan papua di gundul kocak,negatif,27.0
amdal nya,negatif,9.0
ikn bakal jdi new icon di indo kah,negatif,34.0
karepmu,negatif,7.0
emang ikn buat rakyat kecil,negatif,27.0
otoritas yg baru siapa ya numpang tanya,negatif,39.0
mirip konoha yg lagi di bangun setelah di hancurkan oleh pain,negatif,61.0
jakarta jawa junior,negatif,19.0
yang 271t aslinya 271t skarang ketauan itu aja ambil pak biar cepet jadi,negatif,72.0
penasaran apa biaya nya di koru gk ya,negatif,37.0
akhirnya seperti meikarta atau hambalang,negatif,40.0
yang bener ¨,negatif,12.0
suatu sat hutan nya bakal hilang trus ganti sama gedungâ² tinggi,negatif,64.0
pasti pemilih anis,negatif,18.0
ya yang diuntung kn pada pejabat,negatif,32.0
yakin 271t,negatif,10.0
manfat untuk rakyat kecil,negatif,25.0
di kalimantan tidak ada satupun kereta api trsportasi antar kalimantan karena saya orang kalimantan,negatif,99.0
heleh,negatif,5.0
mimpi bangun,negatif,12.0
belum ada duitpengen buat proyek besar ,negatif,39.0
iylah pajak aja naik  wkwk,negatif,26.0
ada tempat party nya ,negatif,21.0
skrng gimana,negatif,12.0
dipaksa itu swasta bukannya mau ,negatif,32.0
jangan sampai ada gedung tinggi di ikn,negatif,38.0
semua butuh perores bukan mie istan,negatif,35.0
bakal ada rumah sakit besar di iknhotel bintang dll ,negatif,52.0
apakah beberapa presiden selanjutnya akan melanjutkan proyek ikn,negatif,64.0
ikn aja direncanakan pas presiden masih soekarno anjir,negatif,54.0
di endors ya ,negatif,13.0
seharga twiter,negatif,14.0
hm apakabar triliun ,negatif,20.0
pemeratan bagi orang jawa bukan indonesia ,negatif,42.0
abang juga invest kan,negatif,21.0
halah pembangunan pulau jawa sudah abis brp 271t,negatif,48.0
di prediksi tahun kota jakarta bakalan tenggelam,negatif,48.0
tinggal tambah setengah njir,negatif,28.0
kenapa ya gk di riau ibu kota nya,negatif,33.0
dari pada ibu kota di jakarta banjir,negatif,36.0
yang invest cuma org asing,negatif,26.0
target selesai,negatif,14.0
makan gratis anggaran hampir 271t pertahun,negatif,42.0
yang sampek 271t gimana,negatif,23.0
minimal jalan di sumatra bagusinlah,negatif,35.0
blm juga kesampean ke ibu kota yg skrng dah mau pindah aja,negatif,58.0
masih dikit banyakan 271t sama 271t,negatif,35.0
ngab owi late game terlalu op,negatif,29.0
yang menikmati nya kan anak muda juga nanti nya,negatif,47.0
aku tau itu kaka ,negatif,17.0
lah dari pada yang 271t sia,negatif,27.0
krn ikn dah ada di uu sih sejak soekarno tp bru jokowi yg berani realisasi,negatif,74.0
o jadi presiden proyek ikn terbengkalai ­,negatif,41.0
bapaku,negatif,6.0
ya allah minimal bisa kesna ­ masa iya saya lahir disana gak punya ingatan satupun tentang wilayahnya ®â ’¨,negatif,107.0
biar merata peningkatan ekonomi indonesia engga di jawa aja,negatif,59.0
271t udah bisa bikin ibukota gimana yang udah bisa bikin apa ya bang,negatif,68.0
suatu hari nanti,negatif,16.0
ikn akan banyak penghuni investor aja ,negatif,38.0
makanya liat statement bu sri mulyani di mk ,negatif,44.0
klo g salah ikn dibatasi ya penduduk nya cma jt jiwa ,negatif,53.0
biar ga jawa doang,negatif,18.0
berarti kedubes semua bakalan pindah ya,negatif,39.0
eh mana da yang bilang mau batalin lagi abah abah,negatif,49.0
lebih susah lagi kalo membangun diperkotan mahal pembebasan lahanya,negatif,67.0
ikn buat pmerintahan aja warga nya gk di ajak ya mon map,negatif,56.0
jika ditambah dengan 271t jadinya kapan,negatif,39.0
udah ya ini biar orang luar jawa tidak bilang jawa di anak emaskan,negatif,66.0
tapi yang 271t udah di bawa sandra dewi,negatif,39.0
alah kalo dah jadi juga lu pingin kesana potokan,negatif,48.0
ini baru presiden jangan jawa sumatra jakarta trus di renov,negatif,59.0
ama proyek timah udah ketutup kok biyaya bngun ikn,negatif,50.0
lo ngerti infestor gak sih,negatif,26.0
uang sandra dewi kan bisa dipake,negatif,32.0
ga ada hewan buas kah,negatif,21.0
listrik sulit air bersih sulit kan nah ikan terbangun bukannya jadi lebih maju masalah kelistrikan dan air bersih,negatif,113.0
gw teep stngh,negatif,13.0
nanti ada bandara gak disana,negatif,28.0
mending 271t buat indonesia daripada 271t buat perut sendiri ,negatif,61.0
aq aja rasanya pengen pindah ke ikn,negatif,35.0
ya biar indonesia ga cuma dijawa aja‚,negatif,37.0
yang penting bukan omon omon ,negatif,29.0
daripada di janjikan kota setara jakarta,negatif,40.0
bnyk oligar cina ga bg disana,negatif,29.0
271t lebih dari setengahnya 271t njir ­,negatif,39.0
gara ikn rakyat jadi tambah melarat,negatif,35.0
otw beli tanah di ikn,negatif,21.0
influencer istana,negatif,17.0
ikn di tawarkan ke singapura,negatif,28.0
tapera,negatif,6.0
yang tinggal disana china semua ,negatif,32.0
ikn itu nanti milik siapa,negatif,25.0
bahlil bahlil,negatif,13.0
gimana bg ikn skg,negatif,17.0
oligarki,negatif,8.0
pemeratana,negatif,10.0
konglomerat singapura,negatif,21.0
dibayar piro koen iku,negatif,21.0
projects mustahal,negatif,17.0
jilat jilat,negatif,11.0
271t jadi ikn,negatif,13.0
dana ngak ada,negatif,13.0
legasi,negatif,6.0
cair cair cair,negatif,14.0
daripada di korup,negatif,17.0
peneratan bagaimana,negatif,19.0
makin panas ni bumi lama ama,negatif,28.0
daripada 271t,negatif,13.0
koko koko,negatif,9.0
ini pasti ank abahh,negatif,19.0
271t bisa buat beli setengah dri ikn,negatif,36.0
buang buang uang kalau kata anak abah,negatif,37.0
project atau proyek,negatif,19.0
terserahmulahkalo mau lu ikut tinggal di sana,negatif,45.0
mas daftar jadi buzer gimana yah,negatif,32.0
buzzer ikn klau swasta yg bangun otomatis itu punya mereka bukan punya negara,negatif,77.0
mangkrak,negatif,8.0
ettt dibayar mas,negatif,16.0
masih sedikit jika dananya 271t,negatif,31.0
tapera untuk candi ikan ­,negatif,25.0
sorry ya yang yang gak setuju proyek ikn itu biasanya rataâ² orang yang dipulau jawa sementara yang setuju proyek ini rataâ² orang diluar pulau jawa,negatif,148.0
agustus mau resmiin apa wkw emang yg bangun bondowoso,negatif,53.0
investor nya tapera ya tong,negatif,27.0
di komen sini kok beda ya nanggepinnya,negatif,38.0
ini yg bikin smua di pajakin ,negatif,29.0
itu pnya investors,negatif,18.0
kira orang jakarta pada mau pindah ke sana ga pak erick tohir aja pernah ngomong siapa yg pindah di sana,negatif,104.0
mas nya orang aceh tolong di kembali kan,negatif,40.0
liat no papua,negatif,13.0
asetnya untuk negara,negatif,20.0
banyak menyumbang banyak,negatif,24.0
namun papua kayak indonesia tahun an,negatif,36.0
hanya orang terpilih yang bisa tinggal disana jadi kesimpulannya hanya untuk memilah rakyat miskin dan kaya ,negatif,108.0
tau apa ni orang tentang ikn,negatif,28.0
jauh dari harapan,negatif,17.0
blegedes,negatif,8.0
semua itu untuk siapa untuk rakyat kah atau pejabat,negatif,51.0
di lnjut pembangunan ikn,negatif,24.0
pemeratan,negatif,9.0
knp gak cetak uang aja buat bangun,negatif,34.0
klok 271t gak buat urusan pribadi buat di sombongin pasti ikn udah banyak kemajuan dan tidak membutuhkan investasi luar negri,negatif,125.0
wkwkwk pegang itu kata semuanya selesai sebelum agustus nanti,negatif,61.0
ingat kataroki gerung,negatif,21.0
heran ama yang bilang khusus pejabat,negatif,36.0
sabi kali yah presiden indo non jawa,negatif,36.0
takut film the simpson jadi kenyatan,negatif,36.0
tapi warga sekitar di suruh pindah,negatif,34.0
lah makan gratis juga 271t pertahun lagi,negatif,40.0
nasib masyarakat adat,negatif,21.0
apalah ,negatif,7.0
kalau gagal fix turunan pasti diinget,negatif,37.0
lu di endors berapa bang ,negatif,25.0
pembangunan abis 271t di huni buat jt orang doang ,negatif,50.0
ngakak cik,negatif,10.0
pemeratan tapi ditumpuk disatu titik,negatif,36.0
cuma nambah 271t udh siap dananya,negatif,33.0
emang peneriman pajak dan bumn negra berapa sih setahun,negatif,55.0
pajak juga dikebutape aja ditarik,negatif,33.0
yg jdi pertanyan itu kayusiapa yg menjualnya dan siapa yg tnggung jawabnya,negatif,74.0
ytta 271t lebih itu ngga dari pemerintah semua tapi sebagian besar investor ada kok kalkulasinya kalo ngga dari sekarang kapan majunya kita harus out of the box,negatif,160.0
itu bukan harus semua selesai broitu proyek jangka panjangsampai ini hnya kantor presiden dan pendukungnya saja,negatif,111.0
darimana pemeratannya jelaskan,negatif,30.0
pemeratan untuk siapa mas untuk negara luar,negatif,43.0
teing ah,negatif,8.0
bang inget bang tpasti bisa dibangun setengahnya dari ikn,negatif,57.0
klo 271t digunakan untuk subsidi tdk mndpatkan hasil mnding membangun pemeratan untuk masadepan bukan untuk hari ini dan besok doang klo dibagi ke rakyat 271t gk dpet apadan pasti bakal kurang,negatif,192.0
jadi nanti bakal jadi din (daerah ibukota nusantara) ,negatif,53.0
ini contoh high risk high demand ya bang,negatif,40.0
kan gak smuanya anggaran negara bos ada investor juga kan,negatif,57.0
terus 271t itu ga buang2 uang,negatif,29.0
ikn cuman buat pejabat,negatif,22.0
utang,negatif,5.0
oh ya,negatif,5.0
preeett,negatif,7.0
terserah,negatif,8.0
spill jadi buzzer jokowi dong,negatif,29.0
calon hambalang nih liat,negatif,24.0
disini yg punya vid ini juga punya tanah di ikn jir,negatif,51.0
oh masnya property investor ,negatif,28.0
ini pembahasan tahun,negatif,20.0
mang eak,negatif,8.0
eeeejadi resapan airnya ilang dongmangkanya sering banjir,negatif,57.0
kolongmerat apa kolormerah,negatif,26.0
hahahaha perkonten berapa siihhh,negatif,32.0
mangkrak pasti,negatif,14.0
bro ikn itu adalah project soekarno tapi baru terleasisasi sekarang ,negatif,68.0
cuma gk sampai,negatif,14.0
pakai hasil timah aj sudah lebih bnyak yang sampai 271t dikorupsi ini blom lainnya tambang indonesia gk pakai infestasi negara luar nusantara sediakan sendiri aja,negatif,162.0
untuk covid kemarin kalau ngga salah rp triliun,negatif,47.0
daripada 271t gatau kemana,negatif,26.0
udh gmapng ad anggaran tambahan treliun,negatif,39.0
donggala korban ikn gunung nya udah tak indah lagi,negatif,50.0
kenyot,negatif,6.0
bangun istana negara sama jln utama dulu yg lain bisa nyusul jgn di lepas k investor asing pak terus kita nanti gk bisa kontrol mereka yg bagun d ikn pak kan kita dpt pelajaran dr jakarta,negatif,187.0
cebok trus,negatif,10.0
dr pd gubernur dki jakarta 271t x thn 271t cuma cat jln,negatif,55.0
pasti mangkrak,negatif,14.0
apakah yang film saranjana tuh bener ada yahh ini buktinya di prov kalimantan,negatif,77.0
dihhh,negatif,5.0
yahhh kalo anggaran nya 271t kan tmbh gak masuk akal pas orang atau pejabat ngeluh knpa jelek bngt kan kon,negatif,106.0
kontennya ko mirip sama influencer lain ya gw pikir review sendiri,negatif,66.0
tapi ada tujuanya daripada 271t cuma buat foya,negatif,46.0
panas,negatif,5.0
sumber daya alam itu banyak yg dari kalimantan kalo gak salah,negatif,61.0
pemb kebut begini hrs di perhatikan kontraktornyakrn sdh biasa bangunan yg cpt maka akan cpt jg hancurnya jgm bilang tidak ya ,negatif,127.0
siapa dulu dong yg mengelola ,negatif,29.0
isi in diamon ff bang tinggal satu token lagi ­ id,negatif,50.0
info dong mau investasi ke siapa yah gw ada 271t,negatif,48.0
271t setengahnya cok,negatif,20.0
yg tinggal di sana cina nanti habsa cina terpampang di siana kayak singapura ,negatif,77.0
berarti ikn milik orang banyak dongbukan milik negara ,negatif,54.0
hm,negatif,2.0
hahahhahahahaha,negatif,15.0
buzzer tk nn,negatif,12.0
cot,negatif,3.0
kata guru gw ikn itu bakal jadi tempat nya para komunis emg bener,negatif,65.0
masak minimorang indonesia aja ada yang punya 271t cuma cumatapi dah di penjara,negatif,79.0
kan ada 271t tinggal bayar setengah agi bisa,negatif,44.0
daripada 271t,negatif,13.0
gua bakal ceritain ayah nya sesak napas dan jarang mandi di ikn,negatif,63.0
setengah uang yg di kurup,negatif,25.0
rip paru dunia,negatif,14.0
daripada 271t dicuri sama chindo ,negatif,33.0
bang di situ pakek tumbal proyek gk sih,negatif,39.0
konglomerat cina,negatif,16.0
sama kayak bagi bagi bansos ya y,negatif,32.0
bertahap tapi pasti,negatif,19.0
pinjem suaminya sandra dewei kurang dikit,negatif,41.0
kalo dananya kurang masih ada 271t silahkan di ambil ,negatif,53.0
271t udah setengahnya,negatif,21.0
mending bangun ikn 271t keliatan hasilnya drpd ditilep 271t cm keliata berita sekolah nya,negatif,89.0
mirip banget si kayak konoha,negatif,28.0
mending mana gak punya tapi punya sendiri ama punya tapi punya orang lain ,negatif,74.0
gua denger dari yang kerja di ikn banyak yang koruf katany,negatif,58.0
pasti pendukung anis,negatif,20.0
pengen ngibar agst dsn,negatif,22.0
dan bansos sebelum pemilu sama dengan membuat ikn ,negatif,50.0
271t kira kira bisa buat ikn gak ya,negatif,35.0
dari pada korup si,negatif,18.0
hrusnya sblum d bgun gedung d buat dlu gorong raksasa saluran air biar g kek jakarta banjir,negatif,91.0
pemeratan itu kotasatelit itu ditambah pembangunannyakalo cuma bangun ikn mah bukan pemeratan tapi bangun istana kocak,negatif,118.0
wis mas aku ws di tahap terserah,negatif,32.0
ikn itu dimana,negatif,14.0
271t x aja sisa,negatif,15.0
gw yang kerja bangun irigasi di training center dan sekitarnya,negatif,62.0
setelah jadi malah,negatif,18.0
sepi,negatif,4.0
keciri pendukung anis,negatif,21.0
jakarta mau tenggelam bro,negatif,25.0
susahkan aksesnya itu biar semua org tau indonesia itu bukan cuman di jawa,negatif,74.0
biar orang sebelah g bilang jawa sentris mulu,negatif,45.0
ketawa aj yg bikin konten aj cina,negatif,33.0
hatitanah yg ngk ade sertifikat,negatif,31.0
pemeratan ekonomijadi ga terpusat di daerah aja ”,negatif,49.0
capeeek deh,negatif,11.0
info lapak jualan sayuran bg ,negatif,29.0
yg berduit boleh tinggal,negatif,24.0
itu hutan apa tu namanya hayooo,negatif,31.0
pokoknya gua dah pesen lahan buat gua jadi tukang parkir,negatif,56.0
takut ikn seperti singapura ,negatif,28.0
biar kalimantan ada kota yg lebih gedenyakasihan orang kalimantan kalo beli online ongkir mahalbahkan lebih mahal dari yg di beliyg di jawa mah enk,negatif,147.0
pohon nya pada kemana itu,negatif,25.0
proyek waduk gondang ngasi pak jokowi entek jabatan durung rampung ­,negatif,68.0
jaga baik ibu kota baru ini jangan sampai tercemar seperti jakarta ,negatif,67.0
ga tau uang yg untuk kovid brp yh,negatif,33.0
271t itu jajan gw perbulan bejirrr,negatif,34.0
kalau bisa jalanya di buat full lebar biar pada satnya nanti gak mancet ,negatif,72.0
hm yg jadi concern aku itu jaringan listrik blm subsurface ya,negatif,61.0
soalnya pulau jawa udah penuh  rakyat indonesua tinggal disitu jdi ya pindah ke kalimantan,negatif,90.0
rafi akhmad investasi ke ikn gak ya,negatif,35.0
project ambisius,negatif,16.0
kita mau indonesia sentris bukan jawasentris terus,negatif,50.0
ikn jadi pasti akan viral di luar negeri,negatif,40.0
yaudah jalan terus aja indonesia gak mau bangun infrastruktur,negatif,61.0
iangan sampe banyak perumahan disana soal mya nanti hutanabis,negatif,61.0
biar pusat ekonomi gak di jawa terus,negatif,36.0
rip paru paru dunia,negatif,19.0
dan ada capres yg blg perubahan nolak ikn ,negatif,42.0
gimana ga dikebut orang upacara nya nanti harusnya udah di ikn,negatif,62.0
aku kerja di sini ka kuli tapi,negatif,30.0
bukan hutan mas itu kebun,negatif,25.0
seperti kebun sawit di ptpn,negatif,27.0
bukan hutan liar hutan produksi,negatif,31.0
anggaran makan siang lebih gila bro,negatif,35.0
sebentar lagi mai jadi singapur pulau kalimantan,negatif,48.0
ya belum makan geratis belum berkelanjutan abng,negatif,47.0
kocak ya,negatif,8.0
supaya lebih maju dan gak kumuh nrgara nya,negatif,42.0
di cuplikan terakhir bisa di lihat polusi yg di timbulkan,negatif,57.0
bagi bansos tai,negatif,15.0
ratanya dmn kaka,negatif,16.0
ingat jangan jual tanah walaupun itu di hutan,negatif,45.0
kek nya ni ikn beneran jadi dahkarna pembangunan nya cepet bet njr,positif,66.0
ikn di gagas oleh bung karno di kerjakan di era presiden jokowi di persiapkan dan di pake oleh presiden prabowo,positif,111.0
engga ada namanya suatu pembangunan ga berguna selama niat nya baik buat masa depan negara itu sendiri,positif,102.0
aku yg dikalsel aja bangga deket ibukota wlp beda provinsi dan jarak yg jauh hehe,positif,81.0
terlihat damai dan aman dari pendemo,positif,36.0
bener dikebut tmn ku ada yg kerja disana jam nonstop sistem shifttapi gajih nya ga maindari sepaku aja keliatan indah banget apalagi masuk,positif,139.0
bagus bgttt mau kerja di iknnnnnn,positif,33.0
vibe nya kek maju bgt,positif,21.0
pak jokowi pak jokowi suatu kota yg indah akan tercipta karenamu kemegahan akan kota itu pasti akan sangat luar biasa yg saya yakin akan lebih dari kota jakarta yg sat ini merupakan pusat indonesia,positif,197.0
suamikuu juga nanti dinas kesana bagian proyek gensetnya pake jasa dari ptcondutorjasa,positif,86.0
boleh pindah kesana ngga ni bagus bgtt,positif,38.0
ngebayangin suasana pagi sama sore hari nya kek nyaman bnget apalagi ngeliat ada area kaya buat jalan kaki atau semacam taman gitu,positif,130.0
kn indah banget,positif,15.0
adem bgt pastikali dh jadi,positif,26.0
pasti rampung ikn dan indah ibu kota nusantara,positif,46.0
